           poker_crs  |              bankid  |                                 poker_crs bank ID  |  400   |                  Di  
           poker_crs  |              sector  |                                     sector number  |    1   |                  Di  
           poker_crs  |                 xch  |                                        xch number  |    2   |                  Di  
           poker_crs  |                 ych  |                                        ych number  |    3   |                  Di  
           poker_crs  |                 zch  |                                        zch number  |    4   |                  Di  
           poker_crs  |              pe_noS  |                                            pe_noS  |    5   |                  Di  
           poker_crs  |                pe_S  |                                              pe_S  |    6   |                  Di  
           poker_crs  |                dene  |                                              dene  |    7   |                  Dd  
           poker_crs  |            Ampl_noS  |                                          Ampl_noS  |    8   |                  Di  
           poker_crs  |              Ampl_S  |                                            Ampl_S  |    9   |                  Di  
           poker_crs  |                hitn  |                                        hit number  |   99   |                  Di  
         poker_scint  |              bankid  |                               poker_scint bank ID  |  500   |                  Di  
         poker_scint  |              sector  |                                     sector number  |    1   |                  Di  
         poker_scint  |             channel  |                                    channel number  |    3   |                  Di  
         poker_scint  |                dene  |                                              dene  |    4   |                  Dd  
         poker_scint  |                hitn  |                                        hit number  |   99   |                  Di  
